Ray1,Ray2,Ray3,Ray4,Ray5,Ray6,Ray7,Ray8,PlayerX
25,7.609166,25,40,5.295485,5.462218,5.800233,25,-0.1713414
25,7.55487,25,40,5.228569,5.394242,5.728937,25,-0.221757
25,7.487835,25,40,5.161429,5.326037,5.657399,25,-0.2723467
25,7.408534,25,40,5.094407,5.257952,5.585985,25,-0.3228535
25,7.316734,25,40,5.027339,5.189819,5.514519,25,-0.3734018
25,7.212556,25,40,4.960281,5.121696,5.443061,25,-0.4239489
25,7.095953,25,40,4.89324,5.053589,5.37162,25,-0.47449
25,6.933895,25,40,4.810874,4.969911,5.283841,25,-0.536595
25,6.789625,25,40,4.743842,4.901811,5.212401,25,-0.5871469
25,6.632764,25,40,4.676775,4.833674,5.140921,25,-0.6377331
25,6.462139,25,40,4.609199,4.765018,5.068894,25,-0.6887128
25,6.28233,25,40,4.54283,4.697587,4.99815,25,-0.7387893
3.494428,6.112879,25,40,4.475662,4.629344,4.926551,25,-0.6881012
3.411581,5.956673,25,40,40,4.561481,4.855349,25,-0.6376868
3.335109,5.812478,25,40,40,4.493451,4.783969,25,-0.5871398
3.265247,5.6808,25,40,40,4.425445,4.712612,25,-0.536601
3.097227,5.363819,25,40,40,4.174676,4.449458,25,-0.3501531
3.057631,5.289149,25,40,40,4.105439,4.376794,25,-0.2986484
3.025629,5.228701,25,40,40,4.038054,4.306068,25,-0.248509
3.000096,5.180503,25,40,40,3.970877,4.235559,25,-0.1985131
2.980831,5.144206,25,40,40,3.902982,4.164292,25,-0.1479684
2.96817,5.120321,25,40,40,3.835101,4.093034,25,-0.09742011
2.962116,5.108856,25,40,40,3.767244,4.021797,25,-0.04687421
2.962104,5.10884,25,40,40,3.689267,3.939931,25,0
2.962092,5.108825,25,40,40,3.621451,3.868727,25,0
2.962106,5.108844,25,40,40,3.553636,3.797518,25,0
2.962108,5.108845,25,40,40,3.485889,3.726374,25,0
2.962105,5.108842,25,40,40,3.418163,3.655246,25,0
2.962092,5.108825,25,40,40,3.349775,3.583417,25,0
2.962092,5.108825,25,40,40,3.281315,3.511505,25,0
2.962077,5.108804,25,40,40,3.21513,3.441976,25,0
2.962088,5.108819,25,40,40,3.147489,3.370908,25,0
2.962105,5.108842,25,40,40,3.072611,3.292227,25,0
2.962103,5.108839,25,40,40,3.005089,3.221266,25,0
2.962097,5.108831,25,40,40,2.936322,3.148986,25,0
2.962111,5.108849,25,40,40,2.870132,3.079404,25,0
2.962112,5.10885,25,40,40,2.80269,3.008494,25,0
2.962085,5.108814,25,40,40,2.735379,2.93771,25,0
2.962108,5.108845,25,40,40,2.668015,2.866857,25,0
2.962113,5.108852,25,40,40,2.600868,2.796216,3.513854,0
2.962095,5.108828,25,40,40,2.533689,2.725527,3.426395,0
2.962108,5.108845,25,40,40,2.45606,2.643819,3.325252,0
2.962103,5.108839,25,40,40,2.389059,2.573277,3.237881,0
2.96209,5.108821,25,40,40,2.32213,2.502789,3.150529,0
2.962085,5.108814,25,40,40,2.255303,2.432386,3.063229,0
2.962114,5.108854,25,40,40,2.188565,2.362052,2.975955,0
2.962105,5.108842,25,40,40,2.121035,2.290854,2.887545,0
2.962097,5.108831,25,40,40,2.055435,2.22166,2.801554,0
2.962092,5.108825,25,40,40,1.987924,2.150416,2.712936,0
2.962082,5.108811,25,40,40,1.9835,2.081687,2.627362,0
2.962082,5.108811,25,40,40,1.9835,2.001413,2.527298,0
2.962079,5.108808,25,40,40,1.9835,1.931401,2.439911,0
2.9621,5.108835,25,40,40,1.9835,1.862275,2.353513,0
2.96209,5.108821,25,40,40,1.9835,1.792963,2.266749,0
2.962085,5.108814,25,40,40,1.9835,1.723794,2.180014,0
2.962113,5.108852,25,40,40,1.9835,1.65496,2.093532,0
2.962103,5.108839,25,40,40,1.9835,1.584457,2.004753,0
2.962095,5.108828,25,40,40,1.9835,1.517965,1.920812,0
2.962077,5.108804,25,40,40,1.9835,1.449923,1.834667,0
2.962111,5.108849,25,40,40,1.9835,1.370669,1.733957,0
2.962108,5.108845,25,40,40,1.9835,1.302322,1.646728,0
2.962079,5.108808,25,40,40,1.9835,1.235794,1.561414,0
2.962079,5.108808,25,40,6.965049,1.9835,1.198399,1.477682,0
2.962111,5.108849,25,40,6.897826,7.089755,1.198399,1.392894,0
2.962103,5.108839,25,40,6.830611,7.021488,1.198399,1.308532,0
2.962116,5.108856,25,40,6.762456,6.952266,1.198399,1.223506,0
2.962108,5.108845,25,40,6.695857,6.884624,1.198399,1.141035,0
2.962116,5.108856,25,40,6.628979,6.816699,1.198399,1.058974,0
2.962116,5.108856,25,40,6.54469,6.731089,1.198399,0.9569267,0
2.962095,5.108828,25,40,6.477475,6.66282,1.198399,0.9023324,0
2.962118,5.108859,25,40,6.410208,6.594498,1.198399,0.9023324,0
2.962079,5.108808,25,40,6.343098,6.526335,1.198399,0.9023324,0
2.962108,5.108845,25,40,6.222734,6.404081,1.198399,0.9023324,0
2.96209,5.108821,25,40,6.09891,6.278313,1.198399,0.9023324,0
2.96209,5.108821,25,40,6.031271,6.209609,1.198399,0.9023324,0
2.962111,5.108849,25,40,5.946819,6.123829,6.494093,0.9023324,0
2.962116,5.108856,25,40,5.879624,6.055577,6.42252,0.9023324,0
2.95553,5.096416,25,40,5.812405,5.987299,6.350917,0.9083477,-0.05060042
2.942412,5.071646,25,40,5.745336,5.919173,6.279474,0.920366,-0.101093
